trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
35,False,"{'a': 0.01, 'e': 0.7046880897187134}",25,0,-145.77723992360427,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
36,False,"{'a': 0.01, 'e': 0.697676326071031}",25,0,-86.83514350886735,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
37,False,"{'a': 0.01, 'e': 0.6907343306373547}",25,0,-58.560668711953184,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
38,False,"{'a': 0.01, 'e': 0.6838614092123558}",20,9,-10.942127024793756,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
39,False,"{'a': 0.01, 'e': 0.6770568744981647}",25,0,16.251545553768715,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",1
40,False,"{'a': 0.01, 'e': 0.6703200460356393}",25,0,-165.3147640826799,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 2}",0
41,False,"{'a': 0.01, 'e': 0.6636502501363194}",30,5,-63.17097099327782,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",1
42,False,"{'a': 0.01, 'e': 0.6570468198150567}",30,15,-56.07579175077124,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 1}",1
43,False,"{'a': 0.01, 'e': 0.6505090947233165}",20,12,-8.21794733430114,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
44,False,"{'a': 0.01, 'e': 0.6440364210831414}",20,6,-23.9111014584794,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
45,False,"{'a': 0.01, 'e': 0.6376281516217733}",20,0,-18.29607024225264,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
46,False,"{'a': 0.01, 'e': 0.631283645506926}",30,18,0.21580927137131645,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
47,False,"{'a': 0.01, 'e': 0.6250022682827008}",20,9,-38.85236681709608,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
48,False,"{'a': 0.01, 'e': 0.6187833918061408}",20,6,-29.201247548835248,"{0: 8, 1: 4, 2: 2, 3: 0, 4: 0}",1
49,False,"{'a': 0.01, 'e': 0.6126263941844161}",20,7,-37.08900876017681,"{0: 8, 1: 2, 2: 2, 3: 1, 4: 0}",1
50,False,"{'a': 0.01, 'e': 0.6065306597126334}",20,0,-10.506618318257205,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
51,False,"{'a': 0.01, 'e': 0.6004955788122659}",20,2,-35.12910971173111,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 0}",1
52,False,"{'a': 0.01, 'e': 0.5945205479701944}",35,12,-105.11527460822815,"{0: 15, 1: 1, 2: 4, 3: 2, 4: 1}",1
53,False,"{'a': 0.01, 'e': 0.5886049696783552}",30,18,-29.38910023538216,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 0}",1
54,False,"{'a': 0.01, 'e': 0.5827482523739896}",30,0,-82.77062456074832,"{0: 24, 1: 1, 2: 2, 3: 2, 4: 1}",0
55,False,"{'a': 0.01, 'e': 0.5769498103804866}",20,0,-21.782603798639208,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
56,False,"{'a': 0.01, 'e': 0.5712090638488149}",25,8,-35.5690339848568,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 0}",1
57,False,"{'a': 0.01, 'e': 0.5655254386995371}",25,0,-54.07610798847058,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
58,False,"{'a': 0.01, 'e': 0.559898366565402}",20,0,-10.609191640812812,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
59,False,"{'a': 0.01, 'e': 0.5543272847345071}",25,17,-0.37555089427134636,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
60,False,"{'a': 0.01, 'e': 0.5488116360940265}",20,6,-41.914399141534155,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
61,False,"{'a': 0.01, 'e': 0.5433508690744998}",25,5,-42.4437137918986,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",1
62,False,"{'a': 0.01, 'e': 0.5379444375946745}",30,0,-102.76387339983596,"{0: 22, 1: 2, 2: 4, 3: 0, 4: 2}",0
63,False,"{'a': 0.01, 'e': 0.5325918010068972}",20,16,7.579298620786053,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.01, 'e': 0.5272924240430485}",25,3,-49.238417705508326,"{0: 18, 1: 0, 2: 2, 3: 1, 4: 1}",1
65,False,"{'a': 0.01, 'e': 0.522045776761016}",25,16,3.7258942127640395,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.01, 'e': 0.5168513344916992}",30,15,-20.951700908414768,"{0: 10, 1: 3, 2: 2, 3: 0, 4: 0}",1
67,False,"{'a': 0.01, 'e': 0.5117085777865424}",30,9,4.137026039440164,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 0}",1
68,False,"{'a': 0.01, 'e': 0.5066169923655895}",25,20,9.417310604862038,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.01, 'e': 0.5015760690660555}",20,7,-2.9103595920794847,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
70,False,"{'a': 0.01, 'e': 0.49658530379140947}",25,0,-24.107677118818817,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
71,False,"{'a': 0.01, 'e': 0.4916441974609651}",20,0,-51.9779547044279,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
72,False,"{'a': 0.01, 'e': 0.4867522559599717}",20,4,4.730419818911792,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
73,False,"{'a': 0.01, 'e': 0.48190899009020244}",20,0,3.591633434844558,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
74,False,"{'a': 0.01, 'e': 0.4771139155210344}",20,3,-20.08772259117469,"{0: 12, 1: 3, 2: 1, 3: 1, 4: 0}",1
75,False,"{'a': 0.01, 'e': 0.4723665527410147}",20,0,-93.76529796405373,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",1
76,False,"{'a': 0.01, 'e': 0.46766642700990924}",25,2,-70.02921289407017,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 1}",1
77,False,"{'a': 0.01, 'e': 0.46301306831122807}",25,15,-24.445584015639216,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
78,False,"{'a': 0.01, 'e': 0.4584060113052235}",30,4,-45.17765923847878,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 1}",1
79,False,"{'a': 0.01, 'e': 0.45384479528235583}",25,4,-46.017936265513676,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 1}",1
80,False,"{'a': 0.01, 'e': 0.44932896411722156}",25,0,-10.086647275567103,"{0: 21, 1: 2, 2: 1, 3: 1, 4: 0}",0
81,False,"{'a': 0.01, 'e': 0.4448580662229411}",20,0,-109.76173698900749,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
82,False,"{'a': 0.01, 'e': 0.44043165450599925}",25,0,-120.28529948858979,"{0: 18, 1: 3, 2: 1, 3: 0, 4: 3}",0
83,False,"{'a': 0.01, 'e': 0.43604928632153556}",20,3,-5.805292030427399,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
84,False,"{'a': 0.01, 'e': 0.43171052342907973}",20,0,16.847201725417534,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
85,False,"{'a': 0.01, 'e': 0.4274149319487267}",20,0,1.1323825002144727,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
86,False,"{'a': 0.01, 'e': 0.4231620823177488}",20,0,-54.46685486904662,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
87,False,"{'a': 0.01, 'e': 0.418951549247639}",30,3,-45.678083974047745,"{0: 23, 1: 0, 2: 2, 3: 1, 4: 1}",1
88,False,"{'a': 0.01, 'e': 0.4147829116815814}",20,0,-72.31625402229955,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
89,False,"{'a': 0.01, 'e': 0.4106557527523455}",30,18,-0.7513846831602089,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 0}",1
90,False,"{'a': 0.01, 'e': 0.4065696597405991}",20,0,-12.289934207200721,"{0: 16, 1: 3, 2: 0, 3: 1, 4: 0}",0
91,False,"{'a': 0.01, 'e': 0.40252422403363597}",25,0,-74.96747622309921,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
92,False,"{'a': 0.01, 'e': 0.39851904108451414}",25,11,-41.1618006814672,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
93,False,"{'a': 0.01, 'e': 0.3945537103716011}",20,0,-34.76885956577776,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
94,False,"{'a': 0.01, 'e': 0.3906278353585211}",30,9,-27.055967528900034,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 1}",1
95,False,"{'a': 0.01, 'e': 0.3867410234545012}",20,12,16.972582878292656,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.01, 'e': 0.38289288597511206}",20,0,-77.59752142428277,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
97,False,"{'a': 0.01, 'e': 0.37908303810339883}",25,5,-33.20016397403109,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",1
98,False,"{'a': 0.01, 'e': 0.37531109885139957}",20,9,-58.869026151081556,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 1}",1
99,False,"{'a': 0.01, 'e': 0.3715766910220457}",20,13,13.704406149432813,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.01, 'e': 0.36787944117144233}",25,15,12.97664139944203,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.01, 'e': 0.3642189795715233}",20,6,5.6660333691890585,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
102,False,"{'a': 0.01, 'e': 0.3605949401730783}",30,13,-38.93865769098714,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 1}",1
103,False,"{'a': 0.01, 'e': 0.3570069605691474}",25,0,-17.311092910731386,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",1
104,False,"{'a': 0.01, 'e': 0.35345468195878016}",20,10,11.875789400058274,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.01, 'e': 0.3499377491111553}",25,13,12.815525402439835,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.01, 'e': 0.3464558103300574}",30,13,7.940230848145898,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
107,False,"{'a': 0.01, 'e': 0.34300851741870664}",25,12,18.036381609331155,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.01, 'e': 0.3395955256449391}",20,0,-14.860380864139543,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
109,False,"{'a': 0.01, 'e': 0.3362164937067333}",35,21,-38.04345678173407,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
110,False,"{'a': 0.01, 'e': 0.33287108369807955}",25,15,14.010247723001319,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.01, 'e': 0.32955896107518906}",25,3,16.926190119674278,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
112,False,"{'a': 0.01, 'e': 0.32627979462303947}",20,0,-27.515866510595295,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
113,False,"{'a': 0.01, 'e': 0.3230332564222529}",20,10,11.046447458270897,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.01, 'e': 0.31981902181630384}",25,0,19.186695757561328,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
115,False,"{'a': 0.01, 'e': 0.31663676937905316}",20,1,-11.555058652284792,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 0}",1
116,False,"{'a': 0.01, 'e': 0.3134861808826053}",20,13,2.36234379013107,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.01, 'e': 0.31036694126548503}",30,15,20.578425345460698,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.01, 'e': 0.30727873860113125}",30,14,31.570709292642565,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.01, 'e': 0.3042212640667041}",20,0,-25.20444952261083,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
120,False,"{'a': 0.01, 'e': 0.30119421191220214}",20,10,3.992347321911186,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
121,False,"{'a': 0.01, 'e': 0.2981972794298874}",25,11,-17.227527217147767,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
122,False,"{'a': 0.01, 'e': 0.2952301669240142}",20,0,3.248769425072627,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
123,False,"{'a': 0.01, 'e': 0.2922925776808594}",20,0,-19.74721927379321,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
124,False,"{'a': 0.01, 'e': 0.2893842179390506}",20,0,-45.31729630644406,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",1
125,False,"{'a': 0.01, 'e': 0.2865047968601901}",20,10,21.134000228960645,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.01, 'e': 0.2836540264997704}",20,9,7.101506095358319,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
127,False,"{'a': 0.01, 'e': 0.2808316217783798}",20,4,-17.119351994723548,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
128,False,"{'a': 0.01, 'e': 0.27803730045319414}",25,0,16.050143736464268,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",1
129,False,"{'a': 0.01, 'e': 0.27527078308975234}",20,6,-1.296641185731485,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
130,False,"{'a': 0.01, 'e': 0.2725317930340126}",25,12,12.126790523450612,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.01, 'e': 0.2698200563846868}",20,13,16.568776561315566,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.01, 'e': 0.26713530196585034}",30,0,-5.504728793503924,"{0: 25, 1: 2, 2: 3, 3: 0, 4: 0}",0
133,False,"{'a': 0.01, 'e': 0.26447726129982396}",25,9,16.589963329639826,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
134,False,"{'a': 0.01, 'e': 0.261845668580326}",20,13,0.3377571795019385,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
135,False,"{'a': 0.01, 'e': 0.2592402606458915}",25,17,12.36449578749985,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.01, 'e': 0.2566607769535559}",20,8,24.675519800920327,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.01, 'e': 0.25410695955280027}",25,7,-4.333069301564958,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
138,False,"{'a': 0.01, 'e': 0.25157855305975646}",30,9,2.9763923821289966,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 0}",1
139,False,"{'a': 0.01, 'e': 0.24907530463166816}",20,0,-34.29884676980961,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
140,False,"{'a': 0.01, 'e': 0.24659696394160643}",20,14,1.5902520989857818,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
141,False,"{'a': 0.01, 'e': 0.2441432831534371}",25,11,-58.21728157387903,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 1}",1
142,False,"{'a': 0.01, 'e': 0.24171401689703645}",30,19,18.643482326281745,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.01, 'e': 0.23930892224375455}",20,2,-28.81883335193241,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
144,False,"{'a': 0.01, 'e': 0.23692775868212176}",20,8,17.499337653157667,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.01, 'e': 0.23457028809379765}",20,11,7.743703099634976,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.01, 'e': 0.23223627472975883}",30,2,5.805747326587991,"{0: 25, 1: 1, 2: 2, 3: 0, 4: 0}",1
147,False,"{'a': 0.01, 'e': 0.22992548518672384}",35,12,38.40275832369276,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.01, 'e': 0.22763768838381274}",25,13,12.550110096365096,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
149,False,"{'a': 0.01, 'e': 0.22537265553943872}",30,7,7.148857805114173,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 0}",1
150,False,"{'a': 0.01, 'e': 0.22313016014842982}",20,10,2.516664069851007,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
151,False,"{'a': 0.01, 'e': 0.2209099779593782}",30,3,-12.546434516953846,"{0: 25, 1: 1, 2: 0, 3: 0, 4: 1}",1
152,False,"{'a': 0.01, 'e': 0.21871188695221475}",20,15,10.444395201737974,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.01, 'e': 0.21653566731600707}",20,0,14.101977526174096,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
154,False,"{'a': 0.01, 'e': 0.21438110142697794}",25,16,-26.738210456196878,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
155,False,"{'a': 0.01, 'e': 0.21224797382674304}",20,0,0.5938719841832087,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
156,False,"{'a': 0.01, 'e': 0.21013607120076472}",25,7,17.929615550641266,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
157,False,"{'a': 0.01, 'e': 0.20804518235702046}",25,13,23.753822647457817,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.01, 'e': 0.20597509820488344}",20,12,0.07316368007249396,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
159,False,"{'a': 0.01, 'e': 0.20392561173421342}",20,0,-9.765945106062151,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
160,False,"{'a': 0.01, 'e': 0.20189651799465538}",20,5,3.1360935606343956,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
161,False,"{'a': 0.01, 'e': 0.1998876140751445}",35,5,-55.45721491742905,"{0: 26, 1: 1, 2: 1, 3: 0, 4: 2}",1
162,False,"{'a': 0.01, 'e': 0.19789869908361465}",20,0,29.047651084044077,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
163,False,"{'a': 0.01, 'e': 0.19592957412690934}",20,3,15.260681723895908,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.01, 'e': 0.19398004229089189}",30,11,-26.732679132921604,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
165,False,"{'a': 0.01, 'e': 0.19204990862075408}",30,12,20.261387475704286,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
166,False,"{'a': 0.01, 'e': 0.1901389801015205}",20,10,-4.24392670921494,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
167,False,"{'a': 0.01, 'e': 0.1882470656387468}",20,13,-35.676784263962006,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 1}",1
168,False,"{'a': 0.01, 'e': 0.18637397603940997}",35,20,19.07342986349782,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
169,False,"{'a': 0.01, 'e': 0.18451952399298926}",20,3,17.477863341906296,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
170,False,"{'a': 0.01, 'e': 0.18268352405273466}",20,6,-1.5350308763801634,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 0}",1
171,False,"{'a': 0.01, 'e': 0.1808657926171221}",30,16,-29.785551948489722,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
172,False,"{'a': 0.01, 'e': 0.17906614791149322}",20,0,9.33161490839876,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
173,False,"{'a': 0.01, 'e': 0.17728440996987782}",20,6,-42.68527722946412,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
174,False,"{'a': 0.01, 'e': 0.17552040061699686}",20,2,18.679018858753214,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
175,False,"{'a': 0.01, 'e': 0.17377394345044514}",30,20,6.320226450824054,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
176,False,"{'a': 0.01, 'e': 0.17204486382305054}",30,17,23.107022460835733,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.01, 'e': 0.17033298882540943}",20,10,18.437969601314595,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.01, 'e': 0.1686381472685955}",20,0,1.4946316194248004,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
